ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу
2026440,SPCinfo,STROGINO PROGRAMMING COMPANY,,,БК0010 (11М),Пресса,,,,,"Электронная пресса. В этой газете Вы найдете большое количество различных примеров подпрограмм на ассемблере, достаточно подробно расписанных",spcinfo.zip,,,,,,,,,,,,,,,,,,,,,,
2026441,TIMES,Королёв Михаил,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 17,times1-17.zip,,,,,,,,,,,,,,,,,,,,,,
2026442,VOLGA NEWS,,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 7,volga-1-7.zip,,,,,,,,,,,,,,,,,,,,,,
2026443,WHAT NOT,,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски 1 и 2,whatnot1-2.zip,,,,,,,,,,,,,,,,,,,,,,
2026444,WRATH 1,,,,БК0010 (11М),Пресса,,,,,Электронная пресса. ,wrath1.zip,,,,,,,,,,,,,,,,,,,,,,
2026445,БЭКАШНИК — PRESS,CS soft.,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 3,bkpress1-3.zip,,,,,,,,,,,,,,,,,,,,,,
2026446,ВКПБ,Парфенов Андрей,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 5,vkpb1-5.zip,,,,,,,,,,,,,,,,,,,,,,
2026447,ГЛЮКИ,EG Corp.,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 5,gluki1-5eg.zip,,,,,,,,,,,,,,,,,,,,,,
2026448,ГЛЮКИ,CHIRICK,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 5,gluki1-5chirick.zip,,,,,,,,,,,,,,,,,,,,,,
2026449,КГБ,,,,БК0010 (11М),Пресса,,,,,"Электронная пресса. Выпуски с 1 по 6, 9, реклама (отсутствует 7 и 8 выпуск)",kgb1-69advert.zip,,,,,,,,,,,,,,,,,,,,,,
2026450,КПСС,Token,,,БК0010 (11М),Пресса,,,,,"Электронная пресса. Выпуски с 1 по 12, с 14 по 17 (отсутствует 13 выпуск)",kpss1-1214-17.zip,,,,,,,,,,,,,,,,,,,,,,
2026451,МОРГ,Atlantic Soft,,,БК0010 (11М),Пресса,,,,,"Электронная пресса. Выпуск 1, с 3 по 5 (отсутствует 2 выпуск)",morg1_3-5.zip,,,,,,,,,,,,,,,,,,,,,,
2026452,ОТВЕТ,BRT corporation,,,БК0010 (11М),Пресса,,,,,"Электронная пресса. Ответ президента BRT corporation авторам газет ATW, ПРИВЕТ, КУКИШ, занятная переписка.",otvet.zip,,,,,,,,,,,,,,,,,,,,,,
2026453,Павловский Посад Computer NEWS,"Деев А, Русаков А.",,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 4,pavlovo1-4_pbs.zip,,,,,,,,,,,,,,,,,,,,,,
2026454,ПРИВЕТ,,,,БК0010 (11М),Пресса,,,,,Электронная пресса. Выпуски с 1 по 4,privet-1-4.zip,,,,,,,,,,,,,,,,,,,,,,
